OP_UNIQUE_CARRIER,mean_cate,lb,ub,n
9E,0.34591264,0.24572957,0.44609568,31782
AA,0.26725012,0.1873575,0.3471428,276386
AS,0.2763406,0.18659152,0.36608973,65718
B6,0.3292315,0.24299566,0.41546735,91421
DL,0.268584,0.18289042,0.3542776,294141
EV,0.35659707,0.2586679,0.45452628,110160
F9,0.34370685,0.25312755,0.4342862,34111
G4,0.39157072,0.29636028,0.48678115,12713
HA,0.36184767,0.22074063,0.50295466,24864
MQ,0.3494795,0.25758114,0.44137788,57757
NK,0.34058833,0.2469655,0.4342112,49904
OH,0.34482694,0.25578547,0.4338684,35697
OO,0.35512975,0.2531964,0.45706308,221414
UA,0.26328567,0.18769476,0.3388766,182655
US,0.26924363,0.18727271,0.3512145,12373
VX,0.31061205,0.22791794,0.39330617,13695
WN,0.30759683,0.22306721,0.39212647,416748
YV,0.33636135,0.24351938,0.42920327,27741
YX,0.31902474,0.22193418,0.41611528,40720
