OP_UNIQUE_CARRIER,ORIGIN_AIRPORT,DEST_AIRPORT,CARRIER_TYPE,ROUTE_TYPE,ORIGIN_TIER,CATE_T1,DOWNSTREAM_SPILLOVER,RECOVERY_WINDOW,ROUTE_30DAY_DISR_RATE,TOPSIS_SCORE,TOPSIS_RANK,NEXT_DISRUPTED,RANK_LONGEST_DELAY,RANK_EARLIEST_DEP,RANK_SPILLOVER,RANK_CATE_ONLY,RANK_RANDOM
MQ,CWA,ORD,Regional,Hub-to-Spoke,Small,0.5043875,1,800,0.3333333333333333,1.0,1,0.0,2,1,1,1,2
9E,VLD,ATL,Regional,Hub-to-Spoke,Small,0.5148337,2,765,0.3333333333333333,1.0,1,0.0,1,1,1,1,2
YV,PIA,DFW,Regional,Hub-to-Spoke,Small,0.5238611,0,202,0.5166666666666667,1.0,1,0.0,1,1,3,1,1
OH,DAY,CLT,Regional,Hub-to-Spoke,Small,0.5118577,4,746,0.0994444444444444,1.0,1,0.0,3,1,1,1,1
G4,FNT,PGD,ULCC,Spoke-to-Spoke,Small,0.5245041,1,375,0.6666666666666666,1.0,1,0.0,1,1,1,1,2
MQ,GRK,DFW,Regional,Hub-to-Spoke,Small,0.6405214,5,524,0.1812698412698412,1.0,1,0.0,2,1,1,1,2
OO,COS,DEN,Regional,Hub-to-Spoke,Small,0.102875866,3,780,0.3134259259259259,1.0,1,1.0,5,1,1,1,5
OO,FSD,ORD,Regional,Hub-to-Spoke,Small,0.51809657,2,676,0.2916666666666667,1.0,1,0.0,2,1,1,1,1
DL,LIT,ATL,Mainline,Hub-to-Hub,Medium,0.45505187,4,811,0.1879365079365079,1.0,1,0.0,3,1,1,1,1
OO,ACV,SFO,Regional,Hub-to-Spoke,Small,0.5694824,2,780,0.3833333333333333,1.0,1,1.0,2,1,1,1,2
OO,EUG,SFO,Regional,Hub-to-Spoke,Small,0.5745297,2,504,0.3916666666666666,1.0,1,0.0,1,1,1,1,3
OO,EGE,ORD,Regional,Hub-to-Spoke,Small,0.5735384,0,497,0.6055555555555555,1.0,1,1.0,2,1,2,1,2
OO,PSC,SEA,Regional,Hub-to-Spoke,Small,0.61017466,1,453,0.4328042328042328,1.0,1,0.0,3,1,1,1,3
AS,JNU,SEA,Mainline,Hub-to-Spoke,Small,0.45511746,2,810,0.4055555555555555,1.0,1,0.0,3,1,2,1,2
WN,BZN,DEN,LCC,Hub-to-Spoke,Small,0.5335236,2,440,0.344047619047619,1.0,1,0.0,1,1,1,1,3
OO,DRO,DEN,Regional,Hub-to-Spoke,Small,0.502752,3,810,0.3355555555555555,1.0,1,1.0,2,1,1,1,3
